淋巴瘤	ㄌ｜ㄣˊ　ㄅㄚ　ㄌ｜ㄡˊ
把如	ㄅㄚˇ　ㄖㄨˊ
撇罷	ㄆ｜ㄝ　ㄅㄚˋ
拔關	ㄅㄚˊ　ㄍㄨㄢ
巴高枝兒	ㄅㄚ　ㄍㄠ　ㄓㄦ　(變)ㄅㄚ　ㄍㄠ　ㄓㄜㄦ
瞎七瞎八	ㄒ｜ㄚ　ㄑ｜　ㄒ｜ㄚ　ㄅㄚ
八面鋒	ㄅㄚ　ㄇ｜ㄢˋ　ㄈㄥ
十中八九	ㄕˊ　ㄓㄨㄥˋ　ㄅㄚ　ㄐ｜ㄡˇ
把飯叫饑	ㄅㄚˇ　ㄈㄢˋ　ㄐ｜ㄠˋ　ㄐ｜
巴巴罾兒	ㄅㄚ　ㄅㄚ　ㄗㄥˋㄦ
七窩八代	ㄑ｜　ㄨㄛ　ㄅㄚ　ㄉㄞˋ
黎巴嫩共和國	ㄌ｜ˊ　ㄅㄚ　ㄋㄣˋ　ㄍㄨㄥˋ　ㄏㄜˊ　ㄍㄨㄛˊ
